order_number,feedback,score,sentence_sentiments,sentiment_classifications,keywords,categorized_feedback,overall_sentiment,sentiment_classification,mismatch
ORD-83634,"The experience was average. It works as described, but I expected more features. The experience was average.",7,"[-0.15, 0.2, -0.15]","['Negative', 'Positive', 'Negative']","['experience average', 'features experience', 'experience', 'expected features', 'average works']",Other,0.025,Neutral,False
ORD-69012,Very dissatisfied. It didn't meet my needs. The order arrived late and was damaged. Customer service was unhelpful. Very dissatisfied. It didn't meet my needs.,2,"[0.2, 0.0, -0.3, 0.0, 0.2, 0.0]","['Positive', 'Neutral', 'Negative', 'Neutral', 'Positive', 'Neutral']","['dissatisfied', 'dissatisfied didn', 'unhelpful dissatisfied', 'customer service', 'customer']",Support Experience,0.03333333333333335,Neutral,False
ORD-54946,"Delivery was on time, but packaging could be better.",5,[0.5],['Positive'],"['packaging better', 'delivery time', 'packaging', 'time packaging', 'delivery']",Other,0.5,Positive,True
ORD-30642,The order arrived late and was damaged.,1,[-0.3],['Negative'],"['order arrived', 'late damaged', 'arrived late', 'order', 'damaged']",Product Quality,-0.3,Negative,False
ORD-26775,I'm disappointed with the product quality. I won't be purchasing again.,3,"[-0.75, 0.0]","['Negative', 'Neutral']","['product quality', 'disappointed product', 'quality', 'quality won', 'disappointed']",Product Quality,-0.75,Negative,False
ORD-18816,I'm disappointed with the product quality. The order arrived late and was damaged. The order arrived late and was damaged.,2,"[-0.75, -0.3, -0.3]","['Negative', 'Negative', 'Negative']","['product quality', 'quality order', 'quality', 'disappointed product', 'order arrived']",Product Quality,-0.45,Negative,False
ORD-22655,Very dissatisfied. It didn't meet my needs.,2,"[0.2, 0.0]","['Positive', 'Neutral']","['dissatisfied didn', 'dissatisfied', 'meet needs', 'needs', 'didn']",Other,0.2,Positive,True
ORD-15879,"The product was okay, nothing special. Delivery was on time, but packaging could be better.",7,"[0.4285714285714286, 0.5]","['Positive', 'Positive']","['packaging better', 'packaging', 'special delivery', 'time packaging', 'delivery time']",Other,0.4523809523809524,Positive,False
ORD-97344,I love the product! It exceeded my expectations.,9,"[0.625, 0.0]","['Positive', 'Neutral']","['love product', 'product', 'product exceeded', 'exceeded expectations', 'love']",Other,0.625,Positive,False
ORD-26659,Everything was delivered ahead of schedule. Everything was delivered ahead of schedule.,8,"[0.0, 0.0]","['Neutral', 'Neutral']","['schedule delivered', 'delivered ahead', 'ahead schedule', 'delivered', 'schedule']",Other,0.0,Neutral,False
ORD-01967,Very satisfied with the quality and support. Very satisfied with the quality and support.,10,"[0.65, 0.65]","['Positive', 'Positive']","['satisfied quality', 'support satisfied', 'quality support', 'satisfied', 'quality']",Product Quality,0.65,Positive,False
ORD-43307,"It works as described, but I expected more features.",6,[0.2],['Positive'],"['features', 'works described', 'expected features', 'works', 'described']",Other,0.2,Positive,False
ORD-06226,"The product was okay, nothing special. Nothing stood out, but nothing was particularly bad either.",5,"[0.4285714285714286, -0.6999999999999998]","['Positive', 'Negative']","['product okay', 'product', 'particularly bad', 'bad', 'special stood']",Other,0.05238095238095245,Neutral,False
ORD-54335,Everything was delivered ahead of schedule. I love the product! It exceeded my expectations. I had a fantastic experience. Will definitely return. Customer service was excellent and very responsive.,9,"[0.0, 0.625, 0.0, 0.4, 0.0, 0.6]","['Neutral', 'Positive', 'Neutral', 'Positive', 'Neutral', 'Positive']","['delivered ahead', 'ahead schedule', 'delivered', 'schedule', 'expectations fantastic']",Other,0.445,Positive,False
ORD-54859,Everything was delivered ahead of schedule. Very satisfied with the quality and support. I love the product! It exceeded my expectations. I had a fantastic experience. Will definitely return.,9,"[0.0, 0.65, 0.625, 0.0, 0.4, 0.0]","['Neutral', 'Positive', 'Positive', 'Neutral', 'Positive', 'Neutral']","['schedule satisfied', 'delivered ahead', 'ahead schedule', 'delivered', 'schedule']",Other,0.41874999999999996,Positive,False
ORD-80763,The order arrived late and was damaged. I won't be purchasing again.,2,"[-0.3, 0.0]","['Negative', 'Neutral']","['order arrived', 'order', 'damaged', 'won purchasing', 'arrived']",Product Quality,-0.3,Negative,False
